,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
40,stations,{'all': 99},200,"{'lon': 78.62, 'lat': 30.78}",1570150452,1253628,"{'temp': 272.745, 'pressure': 1018.01, 'humidity': 83, 'temp_min': 272.745, 'temp_max': 272.745, 'sea_level': 1018.01, 'grnd_level': 634.06}",Lata,,,"{'message': 0.0055, 'country': 'IN', 'sunrise': 1570149621, 'sunset': 1570192098}",19800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 1.48, 'deg': 55.527}"
41,stations,{'all': 40},200,"{'lon': -156.47, 'lat': 20.89}",1570150453,5847411,"{'temp': 301.22, 'pressure': 1014, 'humidity': 52, 'temp_min': 298.71, 'temp_max': 305.15}",Kahului,,,"{'type': 1, 'id': 7879, 'message': 0.0062, 'country': 'US', 'sunrise': 1570119443, 'sunset': 1570162333}",-36000,16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 10.3, 'deg': 50, 'gust': 14.4}"
42,stations,{'all': 94},200,"{'lon': 115.35, 'lat': -33.64}",1570150250,2075265,"{'temp': 288.27, 'pressure': 1001, 'humidity': 56, 'temp_min': 286.48, 'temp_max': 290.93}",Busselton,{'3h': 3.562},,"{'type': 3, 'id': 2011706, 'message': 0.0077, 'country': 'AU', 'sunrise': 1570139548, 'sunset': 1570184545}",28800,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]","{'speed': 10.62, 'deg': 25.974}"
43,stations,{'all': 75},200,"{'lon': 147.06, 'lat': -42.78}",1570150453,2155415,"{'temp': 286.49, 'pressure': 1017, 'humidity': 44, 'temp_min': 285.37, 'temp_max': 287.59}",New Norfolk,,,"{'type': 1, 'id': 9545, 'message': 0.0062, 'country': 'AU', 'sunrise': 1570131657, 'sunset': 1570177218}",36000,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 300}"
44,stations,{'all': 90},200,"{'lon': -73.75, 'lat': 42.65}",1570150448,5106834,"{'temp': 281.69, 'pressure': 1017, 'humidity': 87, 'temp_min': 279.82, 'temp_max': 283.15}",Albany,{'1h': 0.42},,"{'type': 1, 'id': 3273, 'message': 0.0092, 'country': 'US', 'sunrise': 1570100038, 'sunset': 1570142041}",-14400,8047.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 3.1, 'deg': 150}"
45,stations,{'all': 1},200,"{'lon': -121.99, 'lat': 37.55}",1570150454,5350734,"{'temp': 291.12, 'pressure': 1016, 'humidity': 63, 'temp_min': 288.15, 'temp_max': 294.15}",Fremont,,,"{'type': 1, 'id': 4446, 'message': 0.0102, 'country': 'US', 'sunrise': 1570111498, 'sunset': 1570153731}",-25200,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.2, 'deg': 250}"
46,stations,{'all': 20},200,"{'lon': -109.91, 'lat': 22.89}",1570150353,3985710,"{'temp': 300.49, 'pressure': 1012, 'humidity': 61, 'temp_min': 298.71, 'temp_max': 302.04}",Cabo San Lucas,,,"{'type': 1, 'id': 7151, 'message': 0.0073, 'country': 'MX', 'sunrise': 1570108302, 'sunset': 1570151130}",-21600,16093.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.7, 'deg': 250}"
47,stations,{'all': 95},200,"{'lon': 29.09, 'lat': 70.86}",1570150455,780687,"{'temp': 277.445, 'pressure': 1020.87, 'humidity': 77, 'temp_min': 277.445, 'temp_max': 277.445, 'sea_level': 1020.87, 'grnd_level': 1019.97}",Berlevag,,,"{'message': 0.0081, 'country': 'NO', 'sunrise': 1570163458, 'sunset': 1570202030}",7200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 6.97, 'deg': 328.806}"
48,stations,{'all': 45},200,"{'lon': -54.34, 'lat': -34.48}",1570150456,3440777,"{'temp': 284.425, 'pressure': 1026.94, 'humidity': 85, 'temp_min': 284.425, 'temp_max': 284.425, 'sea_level': 1026.94, 'grnd_level': 1013.95}",Rocha,,,"{'message': 0.0062, 'country': 'UY', 'sunrise': 1570093894, 'sunset': 1570138870}",-10800,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.66, 'deg': 96.128}"
49,stations,{'all': 58},200,"{'lon': 72.64, 'lat': 10.57}",1570150260,1267390,"{'temp': 300.725, 'pressure': 1010.05, 'humidity': 71, 'temp_min': 300.725, 'temp_max': 300.725, 'sea_level': 1010.05, 'grnd_level': 1010.19}",Kavaratti,,,"{'message': 0.0067, 'country': 'IN', 'sunrise': 1570150678, 'sunset': 1570193911}",19800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 1.61, 'deg': 279.263}"
50,stations,{'all': 75},200,"{'lon': 74.49, 'lat': 15.34}",1570150457,1273574,"{'temp': 293.15, 'pressure': 1016, 'humidity': 100, 'temp_min': 293.15, 'temp_max': 293.15}",Vaini,,,"{'type': 1, 'id': 9229, 'message': 0.0079, 'country': 'IN', 'sunrise': 1570150317, 'sunset': 1570193384}",19800,6000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 0.93, 'deg': 53.869}"
51,stations,{'all': 90},200,"{'lon': -161.76, 'lat': 60.79}",1570150290,5880568,"{'temp': 282.15, 'pressure': 1011, 'humidity': 81, 'temp_min': 282.15, 'temp_max': 282.15}",Bethel,,,"{'type': 1, 'id': 7640, 'message': 0.0084, 'country': 'US', 'sunrise': 1570121879, 'sunset': 1570162435}",-28800,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 7.2, 'deg': 210, 'gust': 12.3}"
52,stations,{'all': 100},200,"{'lon': 122.77, 'lat': 63.9}",1570150457,2021017,"{'temp': 271.795, 'pressure': 1011.91, 'humidity': 94, 'temp_min': 271.795, 'temp_max': 271.795, 'sea_level': 1011.91, 'grnd_level': 992.73}",Kysyl-Syr,,,"{'message': 0.0079, 'country': 'RU', 'sunrise': 1570140229, 'sunset': 1570180303}",32400,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 3.47, 'deg': 117.896}"
53,stations,{'all': 100},200,"{'lon': -20.27, 'lat': 63.44}",1570150458,3412093,"{'temp': 281.985, 'pressure': 1010.28, 'humidity': 78, 'temp_min': 281.985, 'temp_max': 281.985, 'sea_level': 1010.28, 'grnd_level': 1009.61}",Vestmannaeyjar,,,"{'message': 0.0063, 'country': 'IS', 'sunrise': 1570174592, 'sunset': 1570214583}",0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 19.18, 'deg': 111.158}"
54,stations,{'all': 40},200,"{'lon': -99.88, 'lat': 16.86}",1570150458,3533462,"{'temp': 302.15, 'pressure': 1010, 'humidity': 74, 'temp_min': 302.15, 'temp_max': 302.15}",Acapulco,,,"{'type': 1, 'id': 7103, 'message': 0.0074, 'country': 'MX', 'sunrise': 1570105789, 'sunset': 1570148830}",-18000,12874.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 0.82, 'deg': 237.341}"
